gene,TE
phnG,NA
phnH,NA
phnI,NA
phnJ,NA
phnK,NA
phnL,NA
phnM,NA
phnN,NA
phnO,NA
phnP,NA
phoA,0.94
phoB,0.66
phoE,NA
phoH,NA
phoP,1.67
phoQ,0.29
phoR,0.4
phoU,0.84
php,NA
phr,0.26
pinE,NA
pinR+pinQ,NA
pitA,0.56
pitB,NA
pldA,1.13
pldB,0.14
pliG,NA
plsB,1.02
plsC,0.68
plsX,0.02
plsY,0.54
pmbA,1.82
pmrD,NA
pncA,1.08
pncB,0.68
pnp,1.32
pntA,1.12
pntB,0.65
pnuC,0.61
polA,1.76
polB,0.2
potA,0.97
potB,0.42
potC,0.34
potD,1.83
potE,NA
potF,1.41
potG,0.56
potH,NA
potI,NA
poxB,NA
ppa,2.85
ppc,1.79
ppdA,NA
ppdB,NA
ppdC,NA
ppdD,NA
pphA,NA
pphB,NA
ppiA,2.29
ppiB,2.73
ppiC,2.85
ppiD,1.18
ppk,0.49
pppA,0.17
ppsA,1.59
ppsR,2.02
pptA,NA
ppx,0.93
pqiA,0.23
pqiB,0.65
pqqL,0.96
prc,0.56
prfA,1.13
prfB,1.48
prfC,1.71
priA,0.31
priB,0.02
priC,0.47
prkB,0.92
prlC,2.13
prmA,2.31
prmB,1.09
prmC,0.32
proA,1.18
proB,0.94
proC,3.23
proP,0.51
proQ,1.54
proS,1.5
proV,0.55
proW,0.66
proX,1.44
proY,0.93
prpB,NA
prpC,NA
prpD,NA
prpE,NA
prpR,NA
prr,NA
prs,1.42
psd,1.19
psiE,NA
psiF,NA
pspA,3.18
pspB,NA
pspC,NA
pspD,NA
pspE,2.68
pspF,NA
pspG,NA
pssA,0.9
pstA,0.49
pstB,1.34
pstC,0.46
pstS,0.83
psuG,NA
psuK,NA
psuT,NA
pta,1.64
pth,1.2
ptrA,0.67
ptrB,1.36
ptsA,NA
ptsG,0.97
ptsH,3.16
ptsI,1.19
ptsN,0.91
ptsP,0.36
purA,1.48
purB,2.15
purC,2.77
purD,1.48
purE,1.28
purF,1.3
purH,2.09
purK,0.88
purL,1.25
purM,1.61
purN,0.74
purP,0.89
purR,1.5
purT,2.23
purU,2.15
putA,0.98
putP,1.2
puuA,1.13
puuB,NA
puuC,NA
puuD,NA
puuE,NA
puuP,NA
puuR,1.09
pykA,2.09
pykF,3.19
pyrB,2.43
pyrC,2.49
pyrD,1.68
pyrE,2.72
pyrF,1.57
pyrG,1.53
pyrH,1.53
pyrI,1.77
pyrL,0.15
qmcA,0.85
qorA,1.17
qorB,NA
qseB,NA
qseC,0.8
qseD,0.24
queA,1.05
queC,2.15
queD,2.47
queF,1.63
quuD,NA
quuQ,NA
racC,NA
racR,0.37
radA,0.46
raiA,1.91
ralR,NA
rapA,1.74
rarA,0.54
rarD,0.58
ravA,0.72
rbbA,0.4
rbfA,1.53
rbn,1.55
rbsA,0.39
rbsB,1.18
rbsC,0.44
rbsD,0.14
rbsK,0.91
rbsR,0.4
rcnA,NA
rcnR,NA
rcsA,NA
rcsB,2.37
rcsC,0.41
rcsD,0.47
rcsF,2.54
rdgB,1.31
rdgC,2.25
rdoA,0.29
recA,2.54
recB,0.25
recC,0.33
recD,0.41
recE,NA
recF,0.13
recG,0.18
recJ,0.46
recN,0.79
recO,0.07
recQ,0.23
recR,0.23
recT,NA
recX,NA
relA,0.43
relB,3.52
relE,0.57
rem,NA
rep,0.58
rfaB,0.34
rfaC,0.37
rfaD,1.75
rfaE,1.38
rfaF,0.33
rfaG,0.48
rfaH,0.57
rfaI,0.29
rfaJ,0.54
rfaL,0.73
rfaP,0.35
rfaQ,0.5
rfaS,0.34
rfaY,0.53
rfaZ,0.48
rfbA,1.16
rfbB,1.25
rfbC,0.72
rfbD,0.94
rfbX,0.31
rfc,0.2
rfe,0.46
rffA,0.86
rffC,0.15
rffD,0.51
rffE,0.61
rffG,0.52
rffH,0.35
rffM,0.75
rffT,0.47
rhaA,NA
rhaB,NA
rhaD,NA
rhaM,NA
rhaR,NA
rhaS,NA
rhaT,NA
rhlB,1.11
rhlE,1.16
rhmA,NA
rhmD,NA
rhmR,NA
rhmT,NA
rho,2.17
rhsA,NA
rhsB,NA
rhsC,NA
rhsD,0.07
rhtA,0.85
rhtB,NA
rhtC,0.64
ribA,2
ribB,1.79
ribC,2.33
ribD,0.43
ribE,2.09
ribF,0.26
rihA,2.43
rihB,NA
rihC,2.04
rimI,0.51
rimJ,0.55
rimK,0.14
rimL,NA
rimM,0.08
rimN,1.17
rimO,3.07
rimP,0.74
rlmA,1.81
rlmB,1.72
rlmE,0.44
rlmF,1.38
rlmG,1.5
rlmH,0.36
rlmI,1.9
rlmL,1.17
rlmM,1.19
rlmN,1.36
rlpA,0.81
rluA,0.25
rluB,2.19
rluC,1.19
rluD,1.77
rluE,1.05
rluF,0.97
rmf,NA
rmuC,0.36
rna,2.1
rnb,1.71
rnc,1.01
rnd,1.14
rne,1.21
rng,0.39
rnhA,1.43
rnhB,0.42
rnk,3.07
rnlA,0.75
rnpA,0.11
rnr,1.05
rnt,1.77
rob,0.93
rodZ,0.79
rof,1.03
rpe,1.1
rph,1.81
rpiA,1.76
rpiB,NA
rpiR,0.94
rplA,1.35
rplB,0.95
rplC,0.9
rplD,0.91
rplE,0.69
rplF,0.81
rplI,1.7
rplJ,0.75
rplK,1.38
rplL,2.96
rplM,1.19
rplN,0.68
rplO,0.8
rplP,1.13
rplQ,1.12
rplR,0.79
rplS,2.23
rplT,1.19
rplU,1.62
rplV,0.94
rplW,0.87
rplX,0.51
rplY,3.16
rpmA,1.73
rpmB,2.09
rpmC,1.01
rpmD,0.76
rpmE,2.75
rpmF,2.74
rpmG,1.56
rpmH,2.16
rpmI,1.71
rpmJ,0.69
rpoA,0.31
rpoB,0.83
rpoC,0.81
rpoD,1.69
rpoE,0.33
rpoH,0.91
rpoN,0.25
rpoS,0.71
rpoZ,2.53
rppH,0.31
rpsA,1.56
rpsB,1.93
rpsC,0.92
rpsD,0.98
rpsE,0.74
rpsF,1.84
rpsG,1.47
rpsH,0.8
rpsI,1.46
rpsJ,1.11
rpsK,0.88
rpsL,1.24
rpsM,0.75
rpsN,0.99
rpsO,2.15
rpsP,2.28
rpsQ,0.8
rpsR,2.34
rpsS,0.91
rpsT,1.64
rpsU,3.03
rraA,0.84
rraB,2.58
rsd,0.42
rseA,0.6
rseB,0.41
rseC,0.32
rseP,0.14
rsgA,0.68
rsmA,1.37
rsmB,1.18
rsmC,1.69
rsmD,1.41
rsmE,0.95
rsmF,1.19
rsmG,1.62
rsmH,0.41
rsmI,1.6
rspA,NA
rspB,NA
rssA,0.61
rssB,0.51
rstA,0.98
rstB,0.48
rsuA,1.65
rsxA,0.39
rsxB,0.51
rsxC,0.66
rsxD,0.51
rsxE,0.66
rsxG,0.54
rtcA,0.26
rtcB,0.7
rtcR,NA
rtn,0.42
rumA,0.83
rumB,0.46
rusA,NA
rutA,NA
rutB,NA
rutC,NA
rutD,NA
rutE,NA
rutF,NA
rutG,NA
rutR,0.77
ruvA,0.94
ruvB,0.81
ruvC,0.13
rzoD+rzoR,NA
rzoQ,NA
rzpD,NA
rzpQ,NA
sad,1.41
safA,NA
sanA,0.35
sapA,0.81
sapB,0.41
sapC,0.49
sapD,0.51
sapF,0.68
sbcB,1.31
sbcC,0.55
sbcD,0.77
sbmA,0.46
sbmC,NA
sbp,NA
scpA,NA
scpB,NA
scpC,NA
sdaA,1.83
sdaB,1.17
sdaC,1.11
sdhA,1.11
sdhB,1.49
sdhC,1.37
sdhD,0.79
sdiA,0.88
secA,1.4
secB,2.42
secD,0.43
secE,0.64
secF,0.48
secG,0.27
secM,0.22
secY,0.07
selA,0.8
selB,1.13
selD,1.41
selU,1.19
seqA,1.25
serA,1.94
serB,0.61
serC,1.59
serS,2.04
setA,0.23
setB,NA
setC,NA
sfmA,NA
sfmC,NA
sfmD,NA
sfmF,NA
sfmH,NA
sfsA,0.53
sfsB,NA
sgcA,NA
sgcB,NA
sgcC,NA
sgcE,NA
sgcQ,NA
sgcR,NA
sgcX,NA
sgrR,0.89
sgrT,NA
shiA,0.7
shoB,0.01
sieB,NA
sirA,1.51
sixA,0.83
skp,1.88
slmA,0.82
slp,NA
slt,0.93
slyA,1.39
slyB,2.04
slyD,2.37
slyX,1.54
smf,0.05
smg,0.12
smpB,3.25
smtA,0.24
sodA,3.35
sodB,3.41
sodC,NA
sohA,1.17
sohB,1.44
solA,1.82
soxR,NA
soxS,3.11
speA,1.48
speB,2.78
speC,1.34
speD,1.67
speE,1.24
speF,NA
speG,1.8
spoT,0.12
sppA,0.79
spr,0.7
spy,NA
sra,NA
srlA,NA
srlB,NA
srlD,NA
srlE,NA
srlR,0.73
srmB,1.55
ssb,2.79
sseA,1.52
sseB,1.22
ssnA,NA
sspA,1.42
sspB,0.36
sstT,0.95
ssuA,NA
ssuB,NA
ssuC,NA
ssuD,NA
ssuE,NA
stfP,NA
stfQ,NA
stfR,NA
sthA,0.87
stpA,3.28
sucA,0.84
sucB,1.99
sucC,1.46
sucD,1.8
sufA,NA
sufB,0.6
sufC,NA
sufD,0.62
sufE,NA
sufS,0.67
sugE,0.16
suhB,2.22
sulA,1.35
surA,1.09
surE,0.26
sxy,NA
syd,1.67
symE,NA
tabA,2.29
tadA,0.72
tag,1.11
talA,NA
talB,2.53
tam,NA
tap,NA
tar,NA
tas,1.43
tatA,1.4
tatB,0.29
tatC,0.39
tatD,0.63
tatE,1.87
tauA,NA
tauB,NA
tauC,NA
tauD,NA
tdcA,NA
tdcB,NA
tdcC,0.78
tdcD,NA
tdcE,1.37
tdcF,NA
tdcG,0.22
tdcR,NA
tdh,1.33
tdk,1.58
tehA,0.62
tehB,2.56
tesA,1.25
tesB,1.8
tfaE,NA
tfaP,NA
tfaR+tfaQ,NA
tgt,1.2
thiB,0.52
thiC,NA
thiD,NA
thiE,NA
thiF,NA
thiG,NA
thiH,NA
thiI,1.96
thiK,0.08
thiL,0.45
thiM,NA
thiP,0.19
thiQ,0.5
thiS,NA
thrA,0.98
thrB,0.63
thrC,1.4
thrL,0.82
thrS,1.26
thyA,1.46
tig,2.72
tilS,0.98
tisB,0.02
tktA,2.02
tktB,1.1
tldD,1.33
tmcA,0.17
tmk,0.88
tnaA,NA
tnaB,NA
tnaC,NA
tolA,0.32
tolB,0.72
tolC,2.02
tolQ,0.75
tolR,0.41
tomB,0.02
tonB,1.09
topA,1.08
topB,0.39
torA,NA
torC,NA
torD,NA
torI,NA
torR,1.11
torS,NA
torT,NA
torY,NA
torZ,NA
tpiA,2.31
tpr,NA
tpx,3.55
tqsA,NA
treA,NA
treB,NA
treC,NA
treF,0.27
treR,1.33
trg,NA
trkA,0.54
trkG,0.49
trkH,0.28
trmA,1.02
trmD,0.03
trmH,0.33
trmI,1.34
trmJ,1.42
trmL,1.65
trpA,1.95
trpB,1.81
trpC,0.66
trpD,0.76
trpE,1.39
trpL,NA
trpR,1.21
trpS,1.88
truA,0.52
truB,0.43
truC,0.67
truD,0.5
trxA,2.66
trxB,1.53
trxC,2.08
tsf,2.35
tsgA,0.82
tsr,NA
tsx,2.32
ttcA,2.87
ttdA,NA
ttdB,NA
ttdR,NA
ttdT,NA
tufA+tufB,2.29
tus,1.79
tynA,NA
typA,1.38
tyrA,0.83
tyrB,1.8
tyrP,0.79
tyrR,1.23
tyrS,1.79
ubiA,1.03
ubiB,0.22
ubiC,0.37
ubiD,0.51
ubiE,1.24
ubiF,1.3
ubiG,2.29
ubiH,0.24
ubiX,0.56
ucpA,0.98
udk,1.6
udp,2.48
ugd,0.18
ugpA,NA
ugpB,NA
ugpC,0.44
ugpE,NA
ugpQ,1.45
uhpA,0.26
uhpB,0.15
uhpC,0.25
uhpT,NA
uidA,NA
uidB,NA
uidC,NA
uidR,0.94
ulaA,NA
ulaB,NA
ulaC,NA
ulaD,NA
ulaE,NA
ulaF,NA
ulaG,NA
ulaR,1.28
umuC,NA
umuD,NA
ung,1.81
uof,0.06
upp,2.68
uraA,1.33
usg,1.42
ushA,1.19
uspA,2.98
uspB,NA
uspC,NA
uspD,1.36
uspE,1.09
uspF,NA
uspG,1.48
uup,0.94
uvrA,1.11
uvrB,0.58
uvrC,0.36
uvrD,0.56
uvrY,0.44
uxaA,0.55
uxaB,NA
uxaC,1.74
uxuA,2.41
uxuB,1.66
uxuR,0.83
valS,1.74
ves,NA
viaA,0.24
visC,0.77
vsr,NA
waaA,0.49
waaU,0.68
wbbI,1.03
wbbJ,0.46
wbbK,0.47
wcaA,NA
wcaB,NA
wcaC,NA
wcaD,NA
wcaE,NA
wcaF,NA
wcaI,NA
wcaJ,NA
wcaK,NA
wcaL,NA
wcaM,NA
wecH,NA
wrbA,NA
wza,NA
wzb,NA
wzc,NA
wzxC,NA
wzxE,0.14
wzyE,0.27
wzzE,0.4
xanP,0.7
xanQ,NA
xapA,NA
xapB,NA
xapR,NA
xdhA,NA
xdhB,NA
xdhC,NA
xdhD,0.27
xerC,0.37
xerD,0.24
xisE,NA
xseA,0.57
xseB,1.1
xthA,2.86
xylA,0.19
xylB,0.62
xylE,NA
xylF,NA
xylG,NA
xylH,NA
xylR,1.28
yaaA,2.07
yaaH,1.32
yaaI,NA
yaaJ,NA
yaaU,NA
yaaW,NA
yaaX,0.28
yaaY,NA
yabI,0.22
yacC,0.92
yacF,1.35
yacG,1.95
yacH,NA
yacL,1.41
yadB,0.31
yadC,NA
yadD,0.15
yadE,0.49
yadG,1.33
yadH,0.96
yadI,NA
yadK,NA
yadL,NA
yadM,NA
yadN,NA
yadS,0.39
yaeB,0.49
yaeF,NA
yaeH,1.79
yaeI,NA
yaeJ,0.19
yaeP,0.73
yaeQ,1.06
yaeR,NA
yafC,1.73
yafD,0.62
yafE,0.02
yafJ,0.53
yafK,1.63
yafL,NA
yafM,NA
yafN,NA
yafO,NA
yafP,NA
yafQ,NA
yafS,0.34
yafT,NA
yafV,0.54
yafW,NA
yafX,NA
yafY,NA
yafZ,NA
yagA,NA
yagE,NA
yagF,0.69
yagG,NA
yagH,NA
yagI,0.2
yagK,NA
yagL,NA
yagM,NA
yagN,4.39
yagU,2.34
yagV,NA
yagW,NA
yagX,NA
yahA,0.72
yahB,NA
yahC,NA
yahD,NA
yahE,NA
yahF,NA
yahG,NA
yahI,NA
yahJ,0.98
yahK,NA
yahL,NA
yahM,NA
yahN,NA
yahO,NA
yaiA,NA
yaiE,2.56
yaiI,1.05
yaiL,1.93
yaiO,NA
yaiP,NA
yaiS,NA
yaiV,NA
yaiW,1.05
yaiY,NA
yaiZ,NA
yajC,2
yajD,1.78
yajG,2.84
yajI,NA
yajL,1.78
yajO,1.08
yajQ,2.6
yajR,0.37
ybaA,NA
ybaB,3.28
ybaE,NA
ybaK,2.84
ybaL,0.54
ybaM,NA
ybaN,0.54
ybaO,0.7
ybaP,0.32
ybaQ,1.28
ybaS,NA
ybaT,NA
ybaV,NA
ybaY,2.47
ybaZ,NA
ybbA,NA
ybbC,NA
ybbJ,NA
ybbL,1.49
ybbM,0.65
ybbN,2.63
ybbO,0.81
ybbP,0.38
ybbW,NA
ybbY,NA
ybcF,NA
ybcH,NA
ybcI,NA
ybcJ,1.62
ybcK,NA
ybcL,NA
ybcM,NA
ybcN,NA
ybcO,NA
ybcV,NA
ybcW,NA
ybdD,NA
ybdF,NA
ybdH,0.58
ybdJ,NA
ybdK,NA
ybdL,1.15
ybdM,NA
ybdN,NA
ybdO,NA
ybdR,NA
ybdZ,NA
ybeB,1.35
ybeD,2.78
ybeF,NA
ybeL,NA
ybeQ,NA
ybeR,NA
ybeT,NA
ybeU,NA
ybeX,0.63
ybeY,0.9
ybeZ,1.35
ybfA,2.05
ybfB,NA
ybfC,NA
ybfD+yhhI,NA
ybfE,1.19
ybfF,1.83
ybfK,NA
ybfP,NA
ybgA,NA
ybgC,0.33
ybgD,NA
ybgE,0.33
ybgF,0.61
ybgI,1.9
ybgJ,0.33
ybgK,0.45
ybgL,0.29
ybgO,NA
ybgP,NA
ybgQ,NA
ybgS,NA
ybgT,2.11
ybhA,2.56
ybhB,0.5
ybhC,1.57
ybhD,NA
ybhF,0.27
ybhG,0.55
ybhH,NA
ybhI,NA
ybhJ,NA
ybhK,0.47
ybhL,1.24
ybhM,NA
ybhN,NA
ybhO,NA
ybhP,NA
ybhQ,0.64
ybhR,NA
ybhS,0.32
ybhT,1.03
ybiA,NA
ybiB,1.87
ybiC,2.35
ybiH,0.29
ybiI,NA
ybiJ,NA
ybiO,NA
ybiP,0.75
ybiR,0.28
ybiS,1.71
ybiT,1.78
ybiU,1.72
ybiV,1.54
ybiW,NA
ybiX,NA
ybiY,NA
ybjC,0.05
ybjD,0.86
ybjE,0.97
ybjG,0.77
ybjH,NA
ybjI,1.26
ybjJ,0.66
ybjK,NA
ybjL,0.79
ybjM,NA
ybjN,0.99
ybjO,0.17
ybjP,2.73
ybjQ,1.77
ybjS,0.78
ybjT,0.23
ybjX,2.01
ycaC,NA
ycaD,0.43
ycaI,NA
ycaK,NA
ycaL,NA
ycaM,NA
ycaN,NA
ycaO,2.07
ycaP,NA
ycaQ,0.04
ycaR,2.67
ycbB,0.38
ycbC,NA
ycbF,NA
ycbJ,NA
ycbK,1.29
ycbL,0.96
ycbU,NA
ycbV,NA
ycbW,0.29
ycbX,1.76
ycbZ,0.66
yccA,1.42
yccB,NA
yccE,NA
yccF,0.9
yccJ,NA
yccK,1.44
yccM,NA
yccS,0.4
yccT,NA
yccU,3.69
yccX,NA
ycdT,NA
ycdU,NA
ycdX,1.04
ycdY,2.25
ycdZ,0.26
yceA,1.79
yceB,1.51
yceD,0.12
yceF,2.11
yceG,0.55
yceH,1.28
yceI,NA
yceJ,NA
yceK,NA
yceM,0.34
yceO,NA
yceQ,NA
ycfD,1.65
ycfH,1.66
ycfJ,0.11
ycfL,0.09
ycfM,1.18
ycfP,1.92
ycfQ,0.71
ycfS,1.67
ycfT,NA
ycfZ,NA
ycgB,NA
ycgE,0.76
ycgF,NA
ycgG,NA
ycgJ,1.56
ycgL,1.97
ycgM,0.47
ycgN,1.39
ycgR,NA
ycgV,0.04
ycgX,NA
ycgY,NA
ycgZ,NA
ychA,0.3
ychE,0.57
ychF,2.74
ychH,NA
ychJ,0.63
ychM,0.71
ychN,2.65
ychO,0.3
ychQ,0.07
yciA,1.46
yciB,1.17
yciC,1.08
yciE,NA
yciF,NA
yciG,NA
yciH,1.03
yciI,2.41
yciK,1.51
yciM,0.27
yciN,2.14
yciO,1.93
yciQ,0.04
yciS,0.61
yciT,1.92
yciU,1.5
yciV,0.22
yciW,0.09
yciX,0.63
yciY,1.04
yciZ,NA
ycjD,NA
ycjF,0.94
ycjG,0.72
ycjM,NA
ycjN,NA
ycjO,NA
ycjP,NA
ycjQ,NA
ycjR,NA
ycjS,NA
ycjT,NA
ycjU,NA
ycjW,NA
ycjX,0.82
ycjY,NA
ycjZ,0.69
ydaC,NA
ydaE,NA
ydaF,NA
ydaG,NA
ydaL,0.76
ydaM,NA
ydaN,0.81
ydaQ,NA
ydaS,NA
ydaT,NA
ydaU,NA
ydaV,NA
ydbC,NA
ydbD,NA
ydbH,0.43
ydbJ,2.2
ydbK,1.23
ydbL,NA
ydcA,NA
ydcC,NA
ydcD,NA
ydcF,1.22
ydcH,NA
ydcI,1.19
ydcJ,NA
ydcK,NA
ydcL,1.37
ydcN,NA
ydcO,NA
ydcP,0.88
ydcR,0.93
ydcS,NA
ydcT,NA
ydcU,NA
ydcV,NA
ydcX,NA
ydcY,2.6
ydcZ,NA
yddA,NA
yddB,NA
yddE,1.25
yddG,0.93
yddH,NA
yddJ,NA
yddM,NA
yddW,1
ydeA,0.84
ydeE,NA
ydeH,NA
ydeI,NA
ydeJ,NA
ydeM,NA
ydeN,NA
ydeO,NA
ydeP,NA
ydeQ,NA
ydeR,NA
ydeS,NA
ydfA,NA
ydfB,NA
ydfC,NA
ydfD,NA
ydfG,2.54
ydfH,1.04
ydfI,NA
ydfO,NA
ydfR,NA
ydfU,NA
ydfV,NA
ydfZ,NA
ydgA,1.57
ydgC,NA
ydgD,0.46
ydgH,2.52
ydgI,0.42
ydgJ,0.87
ydgK,0.4
ydgU,NA
ydhB,0.82
ydhC,1
ydhF,2.27
ydhI,NA
ydhJ,0.77
ydhK,0.26
ydhL,NA
ydhO,1.12
ydhP,0.99
ydhQ,1.63
ydhR,2.19
ydhS,NA
ydhT,NA
ydhU,NA
ydhV,NA
ydhW,NA
ydhX,NA
ydhY,NA
ydhZ,1.86
ydiB,NA
ydiE,NA
ydiF,NA
ydiH,NA
ydiI,1.14
ydiJ,1.35
ydiK,1.07
ydiL,NA
ydiM,NA
ydiN,NA
ydiO,NA
ydiP,NA
ydiQ,NA
ydiR,NA
ydiS,NA
ydiT,NA
ydiU,0.43
ydiV,0.14
ydiY,1.68
ydiZ,NA
ydjA,2.27
ydjE,NA
ydjF,1.2
ydjG,NA
ydjH,NA
ydjI,NA
ydjJ,NA
ydjK,NA
ydjL,NA
ydjM,NA
ydjN,0.88
ydjO,NA
ydjX,NA
ydjY,NA
ydjZ,NA
yeaC,1.76
yeaD,2.53
yeaE,0.9
yeaG,NA
yeaH,NA
yeaI,NA
yeaJ,0.33
yeaK,1.81
yeaL,NA
yeaM,NA
yeaN,NA
yeaO,NA
yeaP,0.6
yeaQ,1.84
yeaR,NA
yeaV,NA
yeaW,NA
yeaX,NA
yeaY,0.53
yeaZ,1.25
yebA,0.7
yebB,NA
yebC,2.29
yebE,NA
yebF,0.29
yebG,2.81
yebK,0.85
yebN,0.6
yebO,0.79
yebQ,NA
yebR,1
yebS,0.26
yebT,0.63
yebV,NA
yebW,NA
yebY,1.98
yebZ,0.21
yecA,1.17
yecC,0.94
yecD,1.2
yecE,0.41
yecF,3.26
yecH,NA
yecJ,3.44
yecM,1.11
yecN,0.14
yecR,NA
yecS,0.83
yecT,NA
yedA,NA
yedD,2.5
yedE,1.38
yedF,1.65
yedI,0.89
yedJ,0.23
yedK,NA
yedL,NA
yedP,NA
yedQ,0.38
yedR,1.14
yedV,0.54
yedW,0.59
yedY,NA
yedZ,NA
yeeA,0.44
yeeD,NA
yeeE,NA
yeeF,1.08
yeeJ,0.11
yeeN,2.1
yeeO,NA
yeeR,NA
yeeS,NA
yeeT,NA
yeeU,NA
yeeV,NA
yeeX,3.45
yeeY,0.03
yeeZ,1.31
yefM,NA
yegD,0.77
yegE,0.23
yegH,0.88
yegI,NA
yegJ,NA
yegK,NA
yegL,NA
yegP,NA
yegQ,1.77
yegR,NA
yegS,NA
yegT,NA
yegU,1.28
yegV,NA
yegW,0.79
yegX,NA
yehA,NA
yehB,NA
yehC,NA
yehD,NA
yehE,NA
yehI,NA
yehK,NA
yehL,NA
yehM,NA
yehP,NA
yehR,NA
yehS,1.47
yehT,0.73
yehU,0.32
yehW,NA
yehX,NA
yehY,NA
yeiA,NA
yeiB,0.09
yeiE,0.67
yeiG,1.95
yeiH,0.72
yeiI,0.15
yeiL,NA
yeiP,3.35
yeiQ,1.14
yeiR,1.27
yeiS,NA
yeiT,NA
yeiW,NA
yejA,0.59
yejB,NA
yejE,0.32
yejF,0.28
yejG,1.26
yejH,1.01
yejK,1.72
yejL,2.43
yejM,0.2
yfaA,NA
yfaD,NA
yfaE,0.29
yfaL,0.07
yfaP,NA
yfaQ,NA
yfaT,NA
yfaY,1.46
yfaZ,2.29
yfbK,NA
yfbL,NA
yfbM,NA
yfbN,NA
yfbO,NA
yfbP,NA
yfbR,2.53
yfbS,0.2
yfbT,0.44
yfbU,2.17
yfbV,1.82
yfcA,0.32
yfcC,NA
yfcD,1.88
yfcE,1
yfcF,NA
yfcG,NA
yfcH,0.22
yfcI,NA
yfcJ,0.71
yfcL,2.03
yfcM,0.36
yfcN,1.43
yfcO,0.32
yfcP,NA
yfcQ,NA
yfcR,NA
yfcS,NA
yfcV,NA
yfcZ,2.25
yfdC,NA
yfdE,NA
yfdF,NA
yfdK,NA
yfdN,NA
yfdP,NA
yfdQ,NA
yfdR,NA
yfdS,NA
yfdT,NA
yfdV,NA
yfdX,NA
yfdY,NA
yfeA,0.27
yfeC,NA
yfeD,NA
yfeH,0.86
yfeK,NA
yfeN,NA
yfeO,NA
yfeR,NA
yfeS,NA
yfeW,NA
yfeX,1.9
yfeY,0.44
yfeZ,0.26
yffB,2.1
yffL,NA
yffM,NA
yffN,NA
yffO,NA
yffP,NA
yffQ,NA
yffR,0.89
yffS,2.16
yfgC,0.46
yfgD,3.52
yfgF,NA
yfgG,NA
yfgH,NA
yfgI,NA
yfgJ,1.27
yfgM,0.82
yfgO,0.54
yfhB,0.83
yfhG,0.41
yfhH,0.79
yfhL,1.29
yfhM,0.37
yfhR,NA
yfiB,NA
yfiC,0.93
yfiD,3.37
yfiE,0.91
yfiF,1.72
yfiH,0.49
yfiL,NA
yfiM,NA
yfiN,0.31
yfiP,1.39
yfiQ,0.17
yfiR,0.14
yfjD,0.46
yfjF,1.39
yfjG,1.19
yfjH,NA
yfjI,NA
yfjJ,NA
yfjK,0.38
yfjL,0.22
yfjM,NA
yfjO,0.21
yfjP,NA
yfjQ,NA
yfjR,NA
yfjS,NA
yfjT,NA
yfjW,NA
yfjX,NA
yfjY,NA
yfjZ,NA
ygaC,NA
ygaD,1
ygaH,0.16
ygaM,NA
ygaP,NA
ygaU,1.24
ygaV,NA
ygaW,NA
ygaZ,0.2
ygbA,NA
ygbE,NA
ygbF,NA
ygbI,0.94
ygbJ,NA
ygbK,NA
ygbL,NA
ygbM,NA
ygbN,NA
ygbT,NA
ygcB,NA
ygcE,NA
ygcF,1.68
ygcG,NA
ygcN,0.02
ygcO,NA
ygcP,NA
ygcQ,NA
ygcR,NA
ygcS,NA
ygcU,NA
ygcW,NA
ygdB,NA
ygdD,1.2
ygdG,0.41
ygdH,1.2
ygdI,NA
ygdQ,0.55
ygdR,0.96
ygeA,1.03
ygeG,NA
ygeH,NA
ygeI,NA
ygeR,0.52
ygeV,NA
ygeW,NA
ygeX,NA
ygeY,NA
ygfA,0.37
ygfB,1.12
ygfF,NA
ygfI,NA
ygfK,NA
ygfM,NA
ygfQ,NA
ygfS,NA
ygfT,NA
ygfU,NA
ygfX,0.17
ygfY,1.8
ygfZ,2.2
yggC,0.25
yggD,0.11
yggE,2.17
yggF,NA
yggG,2.34
yggI,NA
yggL,1.47
yggM,NA
yggN,1.17
yggP,NA
yggR,NA
yggS,1.08
yggT,0.97
yggU,0.32
yggW,0.38
yggX,2.37
yghA,NA
yghB,0.75
yghD,NA
yghG,0.91
yghJ,0.66
yghQ,NA
yghR,NA
yghS,NA
yghT,NA
yghU,1.77
yghW,NA
ygiB,1.69
ygiC,0.67
ygiD,NA
ygiF,1.25
ygiL,NA
ygiM,1.69
ygiN,1.43
ygiQ,1.3
ygiS,1.27
ygiV,NA
ygiW,3.93
ygiZ,NA
ygjH,NA
ygjI,NA
ygjJ,NA
ygjK,NA
ygjP,NA
ygjQ,NA
ygjR,1.22
ygjV,NA
yhaB,NA
yhaC,NA
yhaH,1.8
yhaI,NA
yhaJ,0.85
yhaK,NA
yhaL,NA
yhaM,1.74
yhaO,0.04
yhaV,0.76
yhbE,0.05
yhbJ,0.84
yhbO,NA
yhbP,NA
yhbQ,NA
yhbS,1.07
yhbT,0.76
yhbU,NA
yhbV,NA
yhbW,2.11
yhbX,NA
yhbY,2.49
yhcA,NA
yhcB,1.35
yhcC,NA
yhcD,NA
yhcF,0.47
yhcG,NA
yhcH,NA
yhcM,0.86
yhcN,3.11
yhcO,NA
yhdE,0.53
yhdH,2.23
yhdJ,NA
yhdL,NA
yhdN,0.25
yhdP,0.23
yhdT,0.84
yhdU,NA
yhdV,NA
yhdX,NA
yhdY,NA
yhdZ,NA
yheL,0.25
yheM,0.3
